,name,city,state,nirfRank,rank
1301,"Government Degree College, Eturu Nagaram",Warangal (Rural),Telangana,nan,nan
1302,"Government Degree College, Ganai Gangoli",Pithoragarh,Uttarakhand,nan,nan
1303,"Government Degree College, Garla",Mahabubabad,Telangana,nan,nan
1304,"Government Degree College, Godhavarikhani",Karimnagar,Telangana,nan,nan
1305,"Government Degree College, Jaggampeta",Jaggampeta,Andhra Pradesh,nan,nan
1306,"Government Degree College, Jammalamadugu",Jammalamadugu,Andhra Pradesh,nan,nan
1307,"Government Degree College, Kamalpur",Kamalpur,Tripura,nan,nan
1308,"Government Degree College, Kanchanpur",Kanchanpur,Tripura,nan,nan
1309,"Government Degree College, Khumlwng",Khumulwng,Tripura,nan,nan
1310,"Government Degree College, Kommavarapukota",Kamavarapukota,Andhra Pradesh,nan,nan
1311,"Government Degree College, Kotabag",Tahsil - Kaladungi,Uttarakhand,nan,nan
1312,"Government Degree College, Kuppam Rural Co-Ed.",Chittoor,Andhra Pradesh,nan,nan
1313,"Government Degree College, Laksar, Haridwar","Laksar, Haridwar",Uttarakhand,nan,nan
1314,"Government Degree College, Lambgaon",Tehri Garhwal,Uttarakhand,nan,nan
1315,"Government Degree College, Longtarai Valley",Chailengta,Tripura,nan,nan
1316,"Government Degree College, Luxettipet",Luxettipet,Telangana,nan,nan
1317,"Government Degree College, Madhira",Madhira,Telangana,nan,nan
1318,"Government Degree College, Mahanpur",Kathua,Jammu and Kashmir,nan,nan
1319,"Government Degree College, Majra Mahadev",MAJRA MAHADEV,Uttarakhand,nan,nan
1320,"Government Degree College, Malkajgiri",Hyderabad,Telangana,nan,nan
1321,"Government Degree College, Mancherial",Adilabad,Telangana,nan,nan
1322,"Government Degree College, Manglore",MANGLORE,Uttarakhand,nan,nan
1323,"Government Degree College, Manthani",Manthani,Telangana,nan,nan
1324,"Government Degree College, Margubpur (Roorkee)",Roorkee (Haridwar),Uttarakhand,nan,nan
1325,"Government Degree College, Naidupeta",Sri Potti Sriramulu Nellore,Andhra Pradesh,nan,nan
1326,"Government Degree College, Nandikotkur",Kurnool,Andhra Pradesh,nan,nan
1327,"Government Degree College, Nowshera",Nowshera,Jammu and Kashmir,nan,nan
1328,"Government Degree College, Paloncha",Khammam,Telangana,nan,nan
1329,"Government Degree College, Pathapatnam",Srikakulam,Andhra Pradesh,nan,nan
1330,"Government Degree College, Peddapalli",Peddapalli,Telangana,nan,nan
1331,"Government Degree College, Pithapuram",Pithapuram,Andhra Pradesh,nan,nan
1332,"Government Degree College, Pokhra",Pauri Garhwal,Uttarakhand,nan,nan
1333,"Government Degree College, Purola",PUROLA,Uttarakhand,nan,nan
1334,"Government Degree College, Rajam",Sikakulam,Andhra Pradesh,nan,nan
1335,"Government Degree College, Rikhnikhal",Rikhnikhal,Uttarakhand,nan,nan
1336,"Government Degree College, S. Kota",Srungavarapu Kota,Andhra Pradesh,nan,nan
1337,"Government Degree College, Sabbavaram",Sabbavaram,Andhra Pradesh,nan,nan
1338,"Government Degree College, Salur",Vizianagaram,Andhra Pradesh,nan,nan
1339,"Government Degree College, Satpuli",Satpuli,Uttarakhand,nan,nan
1340,"Government Degree College, Seethanagaram",Seethanagaram,Andhra Pradesh,nan,nan
1341,"Government Degree College, Sitarganj",SITARGANJ,Uttarakhand,nan,nan
1342,"Government Degree College, Teliamura",Teliamura,Tripura,nan,nan
1343,"Government Degree College, Thalisain",Pauri,Uttarakhand,nan,nan
1344,"Government Degree College, Thatyud",Thatyud,Uttarakhand,nan,nan
1345,"Government Degree College, Thorrur",Thorrur,Telangana,nan,nan
1346,"Government Degree College, Tiruvuru",Krishna,Andhra Pradesh,nan,nan
