,Unnamed: 0,name,city,state,nirf_rank,ranked,rank,nirfRank
272,182,Atria Institute of Technology,Bengaluru,Karnataka,,,,
273,184,Audisankara College of Engineering & Technology,Gudur,Andhra Pradesh,,,,
274,2035,"Audyogik Tantra Shikshan Sansthas ATSS College of Business Studies & Computer Application, Pune",Pune,Maharashtra,,,,
275,1413,"Audyogik Tantra Shikshan Sansthas Institute of Industrial and Computer Management and Research, Pune",Pune,Maharashtra,,,,
276,186,Aurora's Technological And Research Institute,Hyderabad,Telangana,,,,
277,1415,Aurora`s P. G. College (MBA),Hyderabad,Telangana,,,,
278,1416,"Aurora`s P. G. College (MBA), Ramanthapur",Hyderabad,Telangana,,,,
279,1418,Aurora`s P. G. College (MCA),Hyderabad,Telangana,,,,
280,1419,"Aurora`s P. G. College (MCA), Ramanthapur",Hyderabad,Telangana,,,,
281,185,Aurora`s Scientific & Technological Institute,Hyderabad,Telangana,,,,
282,2036,Auroras Degree College,Hyderabad,Telangana,,,,
283,2037,Auxilium College,Vellore,Tamil Nadu,,,,
284,5306,Avinashilingam Institute for Home Science & Higher Education for Women,Coimbatore,Tamil Nadu,,,84.0,
285,2039,Avvaiyar Government College for Women,Karaikal,Pondicherry,,,,
286,1420,"Awadesh Pratap Singh University, Rewa",Rewa,Madhya Pradesh,,,,
287,2041,Ayya Nadar Janaki Ammal College,Sivakasi,Tamil Nadu,,,,
288,2042,Ayyanna Degree College,K.KOTAPADU,Andhra Pradesh,,,,
289,188,"Azad Institute of Engineering and Technology, Lucknow",Lucknow,Uttar Pradesh,,,,
290,2043,"Azad Mahavidyalaya, Ausa",Latur,Maharashtra,,,,
291,4946,B I T Sind,Dhanbad,Jharkhand,,,,255.0
292,189,B I T Sindri,Dhanbad,Jharkhand,,,,
293,2044,"B J Azad College, Dumka",JAMTARA,Jharkhand,,,,
294,190,B N College Of Engineering And Technology Lucknow,Lucknow,Uttar Pradesh,,,,
295,2045,"B N Patel Institute of Paramedical and Science, Anand",Anand,Gujarat,,,,
296,2046,"B S K College, Sahibaganj",BARHARWA,Jharkhand,,,,
297,2047,B. Borooah College,Kamrup,Assam,,,,
298,191,B. G. S. Institute of Technology,Mandya,Karnataka,,,,
299,5172,B. J. Medical College,,,,,,50.0
300,2048,"B. K. Birla College of Arts, Science and Commerce (Autonomous)",Kalyan West,Maharashtra,,,,
301,2049,B. N. College,Dhubri,Assam,,,,
302,2050,"B. P Sulakhe Commerce College, Dist. Solapur",Barshi.,Maharashtra,,,,
303,192,B. P. Poddar Institute of Management & Technology,Kolkata,West Bengal,,,,
304,1771,B. P. S. Government Medical College for Women,Sonipat,Haryana,,,,
305,2051,B. R. C. M. College of Business Administration,Surat,Gujarat,,,,
306,2052,B. Raghunath Arts & Science College Parbhani,Parbhani,Maharashtra,,,,
307,1421,B. S. Abdur Rahman Crescent Institute of Science and Technology,Chennai,Tamil Nadu,,,,
308,2053,B. S. College,Lohardaga,Jharkhand,,,,
309,2054,B. V. Raju College,West Godavari,Andhra Pradesh,,,,
310,2055,"B.C.M. College, Kottayam",Kottayam,Kerala,,,,
311,2056,"B.D.A. College, Pichri",Bokaro,Jharkhand,,,,
312,194,"B.L.D.E.A`s V.P. Dr. P.G. Halakatti College of Engineering and Technology, Vijayapur",Vijayapur,Karnataka,,,,
313,2057,"B.M.S. College for Womens, Bugel Rock Road, Basvanagudi",Bangalore,Karnataka,,,,
314,195,B.M.S. College of Engineering,Bengaluru,Karnataka,,,,
