,name,city,state,nirf_rank,ranked,rank,nirfRank
4175,"YCSPM`s Dadasaheb D.S. Patil Arts, Science & Commerce College, Erandol",Erandol,Maharashtra,,nan,nan,nan
4176,"Yeshwant Mahavidyalaya, Nanded",Nanded-,Maharashtra,,nan,nan,nan
4177,Yeshwantrao Chavan Science College,Washim,Maharashtra,,nan,nan,nan
4178,Yogada Satsanga Palpara Mahavidyalaya,,West Bengal,,nan,nan,nan
4179,Yogda Satsang College,Ranchi,Jharkhand,,nan,nan,nan
4180,"Yuva Vyavsaik Shikshan Mahavidhyalaya, Guna",Guna,Madhya Pradesh,,nan,nan,nan
4181,Yuvarajas College Mysore,Mysuru,Karnataka,,nan,nan,nan
4182,Zantye Brothers Educational Foundations Narayan Zantye College of Commerce Bicholim,North Goa,Goa,,nan,nan,nan
4183,A.B.Shetty Memorial Institute of Dental Sciences,Mangaluru,Karnataka,,nan,nan,nan
4184,"ADHIPARASAKTHI DENTAL COLLEGE AND HOSPITAL, KANCHEEPURAM",Melmaruvathur,Tamil Nadu,,nan,nan,nan
4185,AJ Institute of Dental Sciences,Dakshina Kannada,Karnataka,,nan,nan,nan
4186,Al-Badar Rural Gulbarga Dental College & Hospital,Gulbarga,Karnataka,,nan,nan,nan
4187,Aligarh Muslim University,Aligarh,Uttar Pradesh,,nan,nan,nan
4188,Amrita Vishwa Vidyapeetham,Coimbatore,Tamil Nadu,,nan,nan,nan
4189,Annamalai University,Annamalainagar,Tamil Nadu,,nan,nan,nan
4190,Annasaheb Chudaman Patil Memorial Dental College,Dhule,Maharashtra,,nan,nan,nan
4191,"Annoor Dental College, Muvattupuzha",Muvattupuzha,Kerala,,nan,nan,nan
4192,Army College of Dental Sciences,Secunderabd,Telangana,,nan,nan,nan
4193,"Baba Jaswant Singh Dental College Hospital & Research Institute, Ludhiana",Ludhiana,Punjab,,nan,nan,nan
4194,Banaras Hindu University,Varanasi,Uttar Pradesh,,nan,nan,nan
4195,Bapuji Dental College & Hospital,Davangere,Karnataka,,nan,nan,nan
4196,"BEST DENTAL SCIENCE COLLEGE (Inst. Code - 269), MADURAI",Madurai,Tamil Nadu,,nan,nan,nan
4197,BHABHA COLLEGE OF DENTAL SCIENCE,Bhopal,Madhya Pradesh,,nan,nan,nan
4198,"Bharati Vidyapeeth (Deemed to be University) Dental College and Hospital, Navi Mumbai",Navi Mumbai,Maharashtra,,nan,nan,nan
4199,"Bharati Vidyapeeth (Deemed to be University) Dental College and Hospital, Pune",Pune,Maharashtra,,nan,nan,nan
4200,Bharati Vidyapeeth Dental College & Hospital,Sangli,Maharashtra,,nan,nan,nan
4201,Bhojia Dental College & Hospital,Baddi,Himachal Pradesh,,nan,nan,nan
4202,Chettinad Dental College and Research Institute,Kelambakkam,Tamil Nadu,,nan,nan,nan
4203,Christian Dental College,Ludhiana,Punjab,,nan,nan,nan
4204,Coorg Institute of Dental Sciences,Virajpet,Karnataka,,nan,nan,nan
4205,D A Pandu Memorial R V Dental College,Bangalore,Karnataka,,nan,nan,nan
