name,city,state,nirfRank,rank
B. G. S. Institute of Technology,Mandya,Karnataka,nan,nan
B. J. Medical College,nan,nan,50,nan
B. J. Medical College,Ahmadabad,Gujarat,nan,nan
"B. K. Birla College of Arts, Science and Commerce (Autonomous)",Kalyan West,Maharashtra,nan,nan
B. N. College,Dhubri,Assam,nan,nan
"B. P Sulakhe Commerce College, Dist. Solapur",Barshi.,Maharashtra,nan,nan
B. P. Poddar Institute of Management & Technology,Kolkata,West Bengal,nan,nan
B. P. S. Government Medical College for Women,Sonipat,Haryana,nan,nan
B. R. C. M. College of Business Administration,Surat,Gujarat,nan,nan
B. Raghunath Arts & Science College Parbhani,Parbhani,Maharashtra,nan,nan
B. S. Abdur Rahman Crescent Institute of Science and Technology,Chennai,Tamil Nadu,102,nan
B. S. College,Lohardaga,Jharkhand,nan,nan
B. V. Raju College,West Godavari,Andhra Pradesh,nan,nan
"B.C.M. College, Kottayam",Kottayam,Kerala,nan,nan
"B.D.A. College, Pichri",Bokaro,Jharkhand,nan,nan
"B.L.D.E.A`s V.P. Dr. P.G. Halakatti College of Engineering and Technology, Vijayapur",Vijayapur,Karnataka,nan,nan
"B.M.S. College for Womens, Bugel Rock Road, Basvanagudi",Bangalore,Karnataka,nan,nan
B.M.S. College of Engineering,Bengaluru,Karnataka,83,nan
"B.P.H.E.Society`s Ahmednagar College, Ahmednagar",Ahmednagar,Maharashtra,nan,nan
B.P.Hivale Institute of Management Studies and Career Development and Research CSRD Campus,Ahmednagar,Maharashtra,nan,nan
"B.S. Patel Arts, Commerce & Science College, Pimpalgaon",Buldana,Maharashtra,nan,nan
"B.S.S. Mahila Mahavidyalaya, Dhanbad",Dhanbad,Jharkhand,nan,nan
"B.V.V. Sangha`s Basaveshwar Commerce College, Bagalkot",Bagalkot,Karnataka,nan,nan
BALAJI INSTITUTE OF TELECOM & MANAGEMENT,Pune,Maharashtra,nan,nan
BBCIT,Hyderabad,Telangana,nan,nan
"BEST DENTAL SCIENCE COLLEGE (Inst. Code - 269), MADURAI",Madurai,Tamil Nadu,nan,nan
BHABHA COLLEGE OF DENTAL SCIENCE,Bhopal,Madhya Pradesh,nan,nan
BISHOP BENZIGER COLLEGE OF NURSING,KOLLAM,Kerala,nan,nan
"BLDEA's SP College of Commerce, Bijapur",Vijayapur,Karnataka,nan,nan
"BLDEA`s Commerce, BHS Arts & TGP Science College",Bagalkot,Karnataka,nan,nan
BM College of Technology,Indore,Madhya Pradesh,nan,nan
BML Munjal University,Gurgaon,Haryana,nan,nan
BML Munjal University,nan,nan,54,nan
BMS College of Arhitecture,Bengaluru,Karnataka,18,nan
